DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
S-07019,33985.94,227,37384.53,227,41122.98,227,45198.76,227,47016.4,227,48728.71,229,50256.11,228,,0.0,9.999988230427043,20.99997822629005,32.99252573270005,38.34073737551469,43.37902673870428,47.87323816848967
S-07021,29727.7,258,32700.47,258,35970.52,258,39567.6,258,41150.29,258,42796.3,258,44095.43,256,Districte: 07   Secció: 021,0.0,10.0,21.00001009159806,33.10010528900654,38.42406240644248,43.96101952051454,48.3311187882009
S-07022,26133.67,276,28799.06,275,31678.95,275,34846.84,275,36240.71,275,37690.33,275,38962.84,273,Districte: 07   Secció: 022,0.0,10.199065037555014,21.218910317609442,33.34078221696378,38.6743997303096,44.22134357707893,49.09057931779195
S-07023,46900.07,694,51402.6,693,56704.8,695,62444.07,694,64834.31,696,67372.59,700,71190.48,698,Districte: 07   Secció: 023,0.0,9.60026285675053,20.905576473553246,33.14280767598001,38.23926062370482,43.65136342013988,51.791841675289604
S-07024,32727.03,459,36008.14,457,39608.94,457,43523.81,458,45224.42,460,47033.39,460,48495.34,459,Districte: 07   Secció: 024,0.0,10.025688246076717,21.028214292589347,32.99040578995405,38.18675266286003,43.71420199144255,48.18130456689775
S-07025,20041.37,268,22045.5,268,24268.85,267,26695.74,267,27749.94,268,28859.93,268,29766.61,266,,0.0,9.99996507224806,21.093767541839703,33.203169244417936,38.463288687350214,44.00178231328498,48.52582433236851
S-07026,21331.27,260,23398.96,261,25738.86,261,28312.92,260,29445.43,260,30645.77,261,31536.29,261,,0.0,9.693234392513894,20.662576583578943,32.72964994583069,38.03880406558072,43.66594206533413,47.8406583386737
S-07027,21332.34,553,23434.63,550,25741.37,551,28315.5,551,29448.11,551,30625.12,554,31500.84,545,,0.0,9.854943245794887,20.66829049227604,32.735086727475746,38.044443319392066,43.561934602579925,47.66706324763247
S-07028,22838.04,619,25143.03,616,27627.01,616,30291.21,616,31503.24,615,32760.8,617,33740.07,614,Districte: 07   Secció: 028,0.0,10.092766279418013,20.969268816413305,32.634893362127386,37.94195999306421,43.4483869894264,47.73627684337184
S-07029,32890.88,1010,36179.97,1010,39803.22,1009,43783.55,1009,45528.8,1010,47349.94,1010,48762.97,1008,Districte: 07   Secció: 029,0.0,10.000006080712964,21.0159776813512,33.117599772338124,38.42378191158159,43.96069670376714,48.25681161464821
S-07030,45386.02,455,49924.62,455,54917.08,455,60426.82,455,62843.89,455,65357.64,455,66808.45,504,Districte: 07   Secció: 030,0.0,9.999995593356735,20.99999074604913,33.139720116458776,38.46530275181654,44.00390252328802,47.20050359119394
S-07031,26939.71,662,29662.24,659,32641.38,660,35918.31,660,37361.14,661,38842.83,662,40008.11,662,Districte: 07   Secció: 031,0.0,10.106010792246845,21.16455596589571,33.328495369846216,38.68426942977486,44.18429151612992,48.509802072850825
S-08001,25991.77,292,28622.99,292,31202.91,294,34026.49,293,35210.49,294,36618.9,294,37730.2,286,Districte: 08   Secció: 001,0.0,10.123281330975155,20.049192494393413,30.912554243131567,35.467842320857706,40.88651907892383,45.16210323498552
S-08002,29353.22,461,32377.19,467,35614.9,467,39176.39,467,40707.89,468,42336.2,468,43576.78,466,Districte: 08   Secció: 002,0.0,10.302004345690175,21.332174119227805,33.46539153115058,38.68287704040646,44.230173044047625,48.4565577473272
S-08003,31255.12,417,34380.62,417,37818.68,417,39597.29,595,41208.46,594,42856.79,594,44059.43,589,Districte: 08   Secció: 003,0.0,9.999961606290437,20.999951367967874,26.690571016844604,31.845470438123417,37.11926238005166,40.967079953620406
S-08004,25487.95,383,29483.47,384,32431.82,384,35688.99,383,37116.55,383,38601.2,383,39757.69,382,Districte: 08   Secció: 004,0.0,15.676113614472722,27.243736746187903,40.02299125665264,45.62391247628782,51.448821894267674,55.98622093969896
S-08005,25752.17,248,28327.39,248,31133.0,249,34246.3,249,35642.99,248,36462.35,252,37401.17,251,Districte: 08   Secció: 005,0.0,10.000011649503717,20.894666352388953,32.98413298762786,38.40771476733805,41.58942722108468,45.235022912632225
S-08006,29140.81,329,32047.13,328,35243.25,327,38767.57,327,40318.27,327,41930.99,327,43199.44,328,Districte: 08   Secció: 006,0.0,9.9733672468267,20.941216115818325,33.03532056933214,38.356723783587334,43.89095567350391,48.24378594829725
S-08007,24064.74,494,26310.26,489,28941.28,489,31760.49,492,32964.83,493,34286.02,494,35418.08,487,Districte: 08   Secció: 007,0.0,9.331162522429066,20.264253841928053,31.979360674580313,36.98394414400488,42.47409280133505,47.178319815630665
S-08008,28005.56,688,30797.45,688,33877.19,688,37264.56,688,38757.05,686,40125.51,689,41361.61,688,Districte: 08   Secció: 008,0.0,9.969056144565576,20.965943905424496,33.06129211485146,38.39055530401821,43.27694215005877,47.69070855930036
S-08009,23992.01,319,26402.95,317,29043.24,317,31947.56,317,33225.46,317,34554.48,317,35587.39,316,Districte: 08   Secció: 009,0.0,10.048928789209418,21.053800827858957,33.15916423842772,38.48552080463455,44.02494830570679,48.33017325351232
S-08010,23475.56,318,25706.75,312,28333.63,312,29416.45,327,30584.85,328,31808.24,328,32762.48,328,,0.0,9.504310014329791,20.694160224505826,25.3067019487501,30.283793017078175,35.495127698764165,39.5599508595322
S-08011,23577.69,117,25935.46,117,28528.99,117,31558.72,153,32821.06,153,34133.9,153,35157.91,153,Districte: 08   Secció: 011,0.0,10.000004241297603,20.99993680466578,33.84992338095888,39.20388299277834,44.77202813337525,49.11515928829332
S-08012,51713.6,440,56885.18,440,62534.87,422,68046.46,491,70768.32,491,73599.05,491,75834.88,489,Districte: 08   Secció: 012,0.0,10.000425420005572,20.925385198477777,31.583297237090452,36.84663222053775,42.32049209492281,46.64397759970299
S-08013,40687.7,230,44756.46,230,49279.23,230,54207.15,230,56375.43,230,58630.44,230,60325.58,229,Districte: 08   Secció: 013,0.0,9.999975422547852,21.115791750332427,33.227363552130015,38.55644334774392,44.09868338588813,48.26490561029502
S-09001,25611.74,194,28172.91,194,31013.05,194,34129.67,194,35494.86,194,36914.65,194,38199.68,190,Districte: 09   Secció: 001,0.0,9.999984382162236,21.089195814107114,33.25791219183076,38.58824117377421,44.13175364110365,49.14910115439247
S-09002,15347.55,253,16893.55,251,18582.9,251,20441.19,251,21258.83,251,22109.18,251,22682.67,245,Districte: 09   Secció: 002,0.0,10.073269023394614,21.080563347244365,33.18861968196878,38.51611494994317,44.05673869770746,47.79342631234301
