SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
S-07010;OFICINA;        44,097.93;3
S-07010;SOL SENSE EDIFICAR;        12,063.25;3
S-07010;VIVENDA;        46,137.74;365
S-07011;ALTRES USOS;       734,672.67;1
S-07011;COMERÇ;        39,454.35;27
S-07011;EMMAGATZEMATGE;        15,069.17;48
S-07011;ENSENYAMENT;        53,844.18;1
S-07011;HOTEL;        35,491.08;1
S-07011;INDUSTRIA;        14,295.62;3
S-07011;OFICINA;        38,406.13;1
S-07011;SOL SENSE EDIFICAR;        10,511.75;16
S-07011;VIVENDA;        40,898.57;348
S-07012;COMERÇ;        43,545.72;22
S-07012;EMMAGATZEMATGE;         5,386.31;185
S-07012;OFICINA;        58,292.75;1
S-07012;VIVENDA;        32,464.03;344
S-07013;COMERÇ;        53,003.71;57
S-07013;EMMAGATZEMATGE;        13,084.33;112
S-07013;INDUSTRIA;        14,975.45;1
S-07013;SOL SENSE EDIFICAR;        33,951.84;3
S-07013;VIVENDA;        35,065.27;517
S-07014;COMERÇ;        47,269.02;54
S-07014;EMMAGATZEMATGE;        27,191.41;58
S-07014;ENSENYAMENT;       120,568.88;2
S-07014;INDUSTRIA;        38,738.10;9
S-07014;OFICINA;        35,878.72;1
S-07014;SOL SENSE EDIFICAR;        29,477.52;7
S-07014;VIVENDA;        40,236.62;788
S-07015;COMERÇ;        39,039.44;22
S-07015;EMMAGATZEMATGE;        10,531.81;20
S-07015;SOL SENSE EDIFICAR;        42,632.04;9
S-07015;VIVENDA;        35,609.15;218
S-07017;COMERÇ;        60,193.06;11
S-07017;EMMAGATZEMATGE;        18,191.25;26
S-07017;OFICINA;        66,145.79;2
S-07017;SOL SENSE EDIFICAR;        44,398.13;4
S-07017;VIVENDA;        34,817.96;198
S-07018;COMERÇ;        40,216.94;5
S-07018;EMMAGATZEMATGE;        16,190.60;2
S-07018;ENSENYAMENT;        52,551.23;1
S-07018;OFICINA;        62,703.41;2
S-07018;VIVENDA;        45,434.80;94
S-07019;COMERÇ;        37,741.61;11
S-07019;EMMAGATZEMATGE;        17,156.40;20
S-07019;INDUSTRIA;        17,629.11;2
S-07019;OFICINA;        41,166.97;3
S-07019;VIVENDA;        50,256.11;228
S-07021;COMERÇ;        67,528.76;19
S-07021;EMMAGATZEMATGE;         8,631.44;82
S-07021;ESPORTIU;    16,607,724.56;1
S-07021;INDUSTRIA;        22,930.17;3
S-07021;OFICINA;       103,377.75;2
S-07021;VIVENDA;        44,095.43;256
S-07022;COMERÇ;        24,327.24;7
S-07022;EMMAGATZEMATGE;         6,281.30;88
